respL,graph,trialNum,path,pID,respR,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,order
"['s', 'd']",modular,879,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,818.2974243164062,"['d', 's']",0.7201910018920898,878.0
"['a', 's']",modular,880,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,0.0,819.114990234375,"['a', 's']",0.6249790191650391,879.0
"['d', 'space']",modular,881,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,820.2651977539062,"['d', 'space']",0.7055239677429199,880.0
"['d', 'f']",modular,882,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,821.0653686523438,"['d', 'f']",0.7040250301361084,881.0
"['a', 'd']",modular,883,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,821.864990234375,"['a', 'd']",0.7052648067474365,882.0
"['d', 'f']",modular,884,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,822.6651000976562,"['d', 'f']",0.6335599422454834,883.0
"['f', 'space']",modular,885,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,823.3973388671875,"['f', 'space']",0.637127161026001,884.0
"['a', 'd']",modular,886,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,0.0,824.1317749023438,"['a', 'd']",0.6705460548400879,885.0
"['f', 'space']",modular,887,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,0.0,825.4813232421875,"['f', 'space']",0.5679941177368164,886.0
"['d', 'f']",modular,888,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,826.9483642578125,"['d', 'f']",0.684973955154419,887.0
"['f', 'space']",modular,889,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,1.0,827.7315063476562,"['f', 'space']",0.5498039722442627,888.0
"['a', 'space']",modular,890,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,0.0,828.3656005859375,"['a', 'space']",0.6366651058197021,889.0
"['s', 'd']",modular,891,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,829.448486328125,"['d', 's']",0.6579329967498779,890.0
"['a', 'space']",modular,892,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,830.198974609375,"['a', 'space']",0.6751959323883057,891.0
"['s', 'f']",modular,893,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,830.9660034179688,"['f', 's']",0.6280660629272461,892.0
"['a', 'space']",modular,894,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,831.6829833984375,"['a', 'space']",0.7685179710388184,893.0
"['f', 'space']",modular,895,img/target_15.png,48,"['l', 'semicolon']",4,0.05000000074505806,0.0,832.5498046875,"['f', 'space']",0.708500862121582,894.0
"['d', 'f']",modular,896,img/target_13.png,48,"['k', 'l']",2,0.05000000074505806,1.0,833.8826904296875,"['d', 'f']",0.7113211154937744,895.0
"['a', 'd']",modular,897,img/target_7.png,48,"['space', 'k']",1,0.05000000074505806,1.0,834.682861328125,"['a', 'd']",0.7260780334472656,896.0
"['d', 'space']",modular,898,img/target_14.png,48,"['k', 'semicolon']",0,0.05000000074505806,1.0,835.5009765625,"['d', 'space']",0.748898983001709,897.0
"['a', 's']",modular,899,img/target_6.png,48,"['space', 'j']",9,0.05000000074505806,1.0,836.3495483398438,"['a', 's']",0.692619800567627,898.0
"['s', 'f']",modular,900,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,837.1327514648438,"['f', 's']",0.7562220096588135,899.0
"['s', 'd']",modular,901,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,837.9825439453125,"['d', 's']",0.6914830207824707,900.0
"['a', 'space']",modular,902,img/target_9.png,48,"['space', 'semicolon']",5,0.05000000074505806,1.0,838.7658081054688,"['a', 'space']",1.131037950515747,901.0
"['s', 'd']",modular,903,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,840.0,"['d', 's']",0.6336948871612549,902.0
"['s', 'space']",modular,904,img/target_12.png,48,"['j', 'semicolon']",6,0.05000000074505806,1.0,840.7337646484375,"['s', 'space']",0.7401039600372314,903.0
"['s', 'f']",modular,905,img/target_11.png,48,"['j', 'l']",8,0.05000000074505806,1.0,841.5672607421875,"['f', 's']",0.6574211120605469,904.0
"['s', 'd']",modular,906,img/target_10.png,48,"['j', 'k']",7,0.05000000074505806,1.0,842.3175048828125,"['d', 's']",0.6432440280914307,905.0
