pID,trialNum,graph,walk,resp,path
2,169,modular,9,p,img/target_10.png
2,170,modular,7,v,img/target_5.png
2,171,modular,9,p,img/target_10.png
2,172,modular,8,b,img/target_6.png
2,173,modular,6,i,img/target_8.png
2,174,modular,8,b,img/target_6.png
2,175,modular,9,p,img/target_10.png
2,176,modular,8,b,img/target_6.png
2,177,modular,5,e,img/target_3.png
2,178,modular,4,o,img/target_9.png
2,179,modular,1,u,img/target_7.png
2,180,modular,0,w,img/target_2.png
2,181,modular,2,q,img/target_1.png
2,182,modular,0,w,img/target_2.png
2,183,modular,9,p,img/target_10.png
2,184,modular,7,v,img/target_5.png
2,185,modular,5,e,img/target_3.png
2,186,modular,8,b,img/target_6.png
2,187,modular,9,p,img/target_10.png
2,188,modular,0,w,img/target_2.png
2,189,modular,1,u,img/target_7.png
2,190,modular,2,q,img/target_1.png
2,191,modular,0,w,img/target_2.png
2,192,modular,2,q,img/target_1.png
2,193,modular,0,w,img/target_2.png
2,194,modular,1,u,img/target_7.png
2,195,modular,3,r,img/target_4.png
2,196,modular,1,u,img/target_7.png
2,197,modular,3,r,img/target_4.png
2,198,modular,4,o,img/target_9.png
2,199,modular,1,u,img/target_7.png
2,200,modular,3,r,img/target_4.png
2,201,modular,4,o,img/target_9.png
2,202,modular,5,e,img/target_3.png
2,203,modular,7,v,img/target_5.png
2,204,modular,5,e,img/target_3.png
2,205,modular,7,v,img/target_5.png
2,206,modular,8,b,img/target_6.png
2,207,modular,9,p,img/target_10.png
2,208,modular,6,i,img/target_8.png
2,209,modular,9,p,img/target_10.png
2,210,modular,8,b,img/target_6.png
2,211,modular,7,v,img/target_5.png
2,212,modular,9,p,img/target_10.png
2,213,modular,7,v,img/target_5.png
2,214,modular,6,i,img/target_8.png
2,215,modular,7,v,img/target_5.png
2,216,modular,9,p,img/target_10.png
2,217,modular,6,i,img/target_8.png
2,218,modular,7,v,img/target_5.png
2,219,modular,6,i,img/target_8.png
2,220,modular,9,p,img/target_10.png
2,221,modular,7,v,img/target_5.png
2,222,modular,9,p,img/target_10.png
2,223,modular,6,i,img/target_8.png
2,224,modular,7,v,img/target_5.png
2,225,modular,6,i,img/target_8.png
2,226,modular,5,e,img/target_3.png
2,227,modular,6,i,img/target_8.png
2,228,modular,9,p,img/target_10.png
2,229,modular,0,w,img/target_2.png
2,230,modular,9,p,img/target_10.png
2,231,modular,0,w,img/target_2.png
2,232,modular,3,r,img/target_4.png
2,233,modular,4,o,img/target_9.png
2,234,modular,1,u,img/target_7.png
2,235,modular,3,r,img/target_4.png
2,236,modular,1,u,img/target_7.png
2,237,modular,2,q,img/target_1.png
2,238,modular,4,o,img/target_9.png
2,239,modular,1,u,img/target_7.png
2,240,modular,2,q,img/target_1.png
2,241,modular,1,u,img/target_7.png
2,242,modular,4,o,img/target_9.png
2,243,modular,3,r,img/target_4.png
2,244,modular,4,o,img/target_9.png
2,245,modular,5,e,img/target_3.png
2,246,modular,6,i,img/target_8.png
2,247,modular,5,e,img/target_3.png
2,248,modular,6,i,img/target_8.png
2,249,modular,5,e,img/target_3.png
2,250,modular,6,i,img/target_8.png
2,251,modular,8,b,img/target_6.png
2,252,modular,7,v,img/target_5.png
2,253,modular,8,b,img/target_6.png
2,254,modular,6,i,img/target_8.png
2,255,modular,7,v,img/target_5.png
2,256,modular,6,i,img/target_8.png
2,257,modular,7,v,img/target_5.png
2,258,modular,6,i,img/target_8.png
2,259,modular,9,p,img/target_10.png
2,260,modular,7,v,img/target_5.png
2,261,modular,8,b,img/target_6.png
2,262,modular,5,e,img/target_3.png
2,263,modular,4,o,img/target_9.png
2,264,modular,2,q,img/target_1.png
2,265,modular,1,u,img/target_7.png
2,266,modular,4,o,img/target_9.png
2,267,modular,5,e,img/target_3.png
2,268,modular,4,o,img/target_9.png
2,269,modular,1,u,img/target_7.png
2,270,modular,2,q,img/target_1.png
2,271,modular,1,u,img/target_7.png
2,272,modular,2,q,img/target_1.png
2,273,modular,3,r,img/target_4.png
2,274,modular,2,q,img/target_1.png
2,275,modular,4,o,img/target_9.png
2,276,modular,2,q,img/target_1.png
2,277,modular,0,w,img/target_2.png
2,278,modular,3,r,img/target_4.png
2,279,modular,1,u,img/target_7.png
2,280,modular,4,o,img/target_9.png
2,281,modular,5,e,img/target_3.png
2,282,modular,7,v,img/target_5.png
2,283,modular,9,p,img/target_10.png
2,284,modular,0,w,img/target_2.png
2,285,modular,3,r,img/target_4.png
2,286,modular,2,q,img/target_1.png
2,287,modular,3,r,img/target_4.png
2,288,modular,0,w,img/target_2.png
2,289,modular,1,u,img/target_7.png
2,290,modular,4,o,img/target_9.png
2,291,modular,1,u,img/target_7.png
2,292,modular,0,w,img/target_2.png
2,293,modular,1,u,img/target_7.png
2,294,modular,3,r,img/target_4.png
2,295,modular,2,q,img/target_1.png
2,296,modular,4,o,img/target_9.png
2,297,modular,3,r,img/target_4.png
2,298,modular,2,q,img/target_1.png
2,299,modular,3,r,img/target_4.png
2,300,modular,4,o,img/target_9.png
2,301,modular,3,r,img/target_4.png
2,302,modular,2,q,img/target_1.png
2,303,modular,0,w,img/target_2.png
2,304,modular,1,u,img/target_7.png
2,305,modular,0,w,img/target_2.png
2,306,modular,3,r,img/target_4.png
2,307,modular,1,u,img/target_7.png
2,308,modular,2,q,img/target_1.png
2,309,modular,1,u,img/target_7.png
2,310,modular,3,r,img/target_4.png
2,311,modular,1,u,img/target_7.png
2,312,modular,4,o,img/target_9.png
2,313,modular,5,e,img/target_3.png
2,314,modular,8,b,img/target_6.png
2,315,modular,5,e,img/target_3.png
2,316,modular,6,i,img/target_8.png
2,317,modular,9,p,img/target_10.png
2,318,modular,8,b,img/target_6.png
2,319,modular,5,e,img/target_3.png
2,320,modular,4,o,img/target_9.png
2,321,modular,1,u,img/target_7.png
2,322,modular,0,w,img/target_2.png
2,323,modular,9,p,img/target_10.png
2,324,modular,7,v,img/target_5.png
2,325,modular,6,i,img/target_8.png
2,326,modular,9,p,img/target_10.png
2,327,modular,7,v,img/target_5.png
2,328,modular,6,i,img/target_8.png
2,329,modular,7,v,img/target_5.png
2,330,modular,9,p,img/target_10.png
2,331,modular,6,i,img/target_8.png
2,332,modular,5,e,img/target_3.png
2,333,modular,8,b,img/target_6.png
2,334,modular,6,i,img/target_8.png
2,335,modular,9,p,img/target_10.png
2,336,modular,7,v,img/target_5.png
2,337,modular,5,e,img/target_3.png
2,338,modular,4,o,img/target_9.png
2,339,modular,2,q,img/target_1.png
2,340,modular,4,o,img/target_9.png
2,341,modular,1,u,img/target_7.png
2,342,modular,3,r,img/target_4.png
2,343,modular,1,u,img/target_7.png
2,344,modular,4,o,img/target_9.png
2,345,modular,1,u,img/target_7.png
2,346,modular,0,w,img/target_2.png
2,347,modular,3,r,img/target_4.png
2,348,modular,2,q,img/target_1.png
2,349,modular,3,r,img/target_4.png
2,350,modular,1,u,img/target_7.png
2,351,modular,2,q,img/target_1.png
2,352,modular,1,u,img/target_7.png
2,353,modular,3,r,img/target_4.png
2,354,modular,0,w,img/target_2.png
