323.6222 	DATA 	Keypress: space
325.8624 	DATA 	Keypress: k
326.2310 	DATA 	Keypress: space
326.9429 	DATA 	Keypress: space
329.6543 	DATA 	Keypress: space
329.6620 	DATA 	Keypress: k
329.9379 	DATA 	Trial 68 - Stimuli img/target_15.png
332.2463 	DATA 	Keypress: l
332.4299 	DATA 	Keypress: semicolon
332.5380 	DATA 	Trial 69 - Stimuli img/target_12.png
334.6140 	DATA 	Keypress: j
334.8465 	DATA 	Keypress: semicolon
338.9740 	DATA 	Keypress: semicolon
338.9817 	DATA 	Keypress: j
339.2553 	DATA 	Trial 70 - Stimuli img/target_15.png
339.5339 	DATA 	Keypress: j
341.5185 	DATA 	Keypress: l
341.5581 	DATA 	Keypress: semicolon
341.7888 	DATA 	Trial 71 - Stimuli img/target_10.png
343.7977 	DATA 	Keypress: k
343.8463 	DATA 	Keypress: j
344.0888 	DATA 	Trial 72 - Stimuli img/target_7.png
345.8705 	DATA 	Keypress: k
346.2865 	DATA 	Keypress: space
347.5504 	DATA 	Keypress: space
347.6136 	DATA 	Keypress: k
347.8231 	DATA 	Trial 73 - Stimuli img/target_12.png
351.0944 	DATA 	Keypress: semicolon
351.1981 	DATA 	Keypress: j
351.3896 	DATA 	Trial 74 - Stimuli img/target_13.png
353.0455 	DATA 	Keypress: k
353.0534 	DATA 	Keypress: l
353.3396 	DATA 	Trial 75 - Stimuli img/target_12.png
354.2222 	DATA 	Keypress: semicolon
354.7013 	DATA 	Keypress: j
357.4534 	DATA 	Keypress: semicolon
357.8931 	DATA 	Keypress: j
362.3494 	DATA 	Keypress: j
362.3569 	DATA 	Keypress: semicolon
362.6242 	DATA 	Trial 76 - Stimuli img/target_7.png
364.3417 	DATA 	Keypress: k
364.5328 	DATA 	Keypress: space
364.6404 	DATA 	Trial 77 - Stimuli img/target_12.png
366.5659 	DATA 	Keypress: j
367.1648 	DATA 	Keypress: apostrophe
368.8937 	DATA 	Keypress: semicolon
369.2527 	DATA 	Keypress: j
370.1488 	DATA 	Keypress: semicolon
370.1574 	DATA 	Keypress: j
370.4244 	DATA 	Trial 78 - Stimuli img/target_13.png
371.6376 	DATA 	Keypress: k
371.6608 	DATA 	Keypress: l
371.9244 	DATA 	Trial 79 - Stimuli img/target_9.png
373.4616 	DATA 	Keypress: apostrophe
374.5886 	DATA 	Keypress: space
375.9893 	DATA 	Keypress: apostrophe
376.3173 	DATA 	Keypress: space
377.8046 	DATA 	Keypress: semicolon
378.0690 	DATA 	Keypress: space
379.4209 	DATA 	Keypress: semicolon
379.4533 	DATA 	Keypress: space
379.6922 	DATA 	Trial 80 - Stimuli img/target_12.png
381.6365 	DATA 	Keypress: semicolon
381.8284 	DATA 	Keypress: j
381.9266 	DATA 	Trial 81 - Stimuli img/target_9.png
382.9252 	DATA 	Keypress: semicolon
383.1883 	DATA 	Keypress: space
384.3813 	DATA 	Keypress: space
385.3649 	DATA 	Keypress: semicolon
385.4049 	DATA 	Keypress: space
385.6426 	DATA 	Trial 82 - Stimuli img/target_12.png
387.0044 	DATA 	Keypress: semicolon
387.1403 	DATA 	Keypress: j
387.2931 	DATA 	Trial 83 - Stimuli img/target_15.png
389.1324 	DATA 	Keypress: semicolon
389.1408 	DATA 	Keypress: l
389.4264 	DATA 	Trial 84 - Stimuli img/target_7.png
390.3170 	DATA 	Keypress: semicolon
390.8047 	DATA 	Keypress: k
391.8360 	DATA 	Keypress: k
392.0761 	DATA 	Keypress: space
392.7564 	DATA 	Keypress: k
392.7571 	DATA 	Keypress: space
393.0281 	DATA 	Trial 85 - Stimuli img/target_12.png
396.0048 	DATA 	Keypress: apostrophe
396.2450 	DATA 	Keypress: j
396.6757 	DATA 	Keypress: j
396.8360 	DATA 	Keypress: apostrophe
397.5487 	DATA 	Keypress: j
397.5559 	DATA 	Keypress: apostrophe
398.4046 	DATA 	Keypress: apostrophe
398.5566 	DATA 	Keypress: apostrophe
398.6845 	DATA 	Keypress: j
399.5158 	DATA 	Keypress: apostrophe
399.5319 	DATA 	Keypress: j
401.8846 	DATA 	Keypress: apostrophe
401.9237 	DATA 	Keypress: j
403.0998 	DATA 	Keypress: apostrophe
404.8047 	DATA 	Keypress: semicolon
404.8683 	DATA 	Keypress: j
405.0805 	DATA 	Trial 86 - Stimuli img/target_9.png
406.3878 	DATA 	Keypress: semicolon
407.4115 	DATA 	Keypress: space
408.6364 	DATA 	Keypress: semicolon
408.6514 	DATA 	Keypress: space
408.9117 	DATA 	Trial 87 - Stimuli img/target_11.png
411.6835 	DATA 	Keypress: j
411.7077 	DATA 	Keypress: l
411.9791 	DATA 	Trial 88 - Stimuli img/target_14.png
413.4763 	DATA 	Keypress: k
413.9560 	DATA 	Keypress: apostrophe
414.3793 	DATA 	Keypress: apostrophe
415.1803 	DATA 	Keypress: semicolon
417.6682 	DATA 	Keypress: k
417.6993 	DATA 	Keypress: semicolon
417.9463 	DATA 	Trial 89 - Stimuli img/target_6.png
419.8194 	DATA 	Keypress: j
420.1073 	DATA 	Keypress: space
421.5081 	DATA 	Keypress: j
421.6990 	DATA 	Keypress: space
421.7799 	DATA 	Trial 90 - Stimuli img/target_8.png
423.7558 	DATA 	Keypress: l
424.3390 	DATA 	Keypress: space
425.7638 	DATA 	Keypress: space
425.8032 	DATA 	Keypress: l
426.0465 	DATA 	Trial 91 - Stimuli img/target_9.png
426.2837 	DATA 	Keypress: space
426.3797 	DATA 	Keypress: space
428.2269 	DATA 	Keypress: semicolon
428.4267 	DATA 	Keypress: space
428.4975 	DATA 	Trial 92 - Stimuli img/target_12.png
428.8188 	DATA 	Keypress: space
428.8268 	DATA 	Keypress: semicolon
431.9629 	DATA 	Keypress: space
436.5228 	DATA 	Keypress: j
436.5309 	DATA 	Keypress: semicolon
436.7986 	DATA 	Trial 93 - Stimuli img/target_15.png
438.1794 	DATA 	Keypress: l
438.1954 	DATA 	Keypress: semicolon
438.4813 	DATA 	Trial 94 - Stimuli img/target_7.png
440.5548 	DATA 	Keypress: space
440.5864 	DATA 	Keypress: k
440.8478 	DATA 	Trial 95 - Stimuli img/target_10.png
442.6432 	DATA 	Keypress: k
442.6742 	DATA 	Keypress: j
442.9325 	DATA 	Trial 96 - Stimuli img/target_15.png
444.7625 	DATA 	Keypress: semicolon
444.7706 	DATA 	Keypress: l
445.0481 	DATA 	Trial 97 - Stimuli img/target_12.png
447.4024 	DATA 	Keypress: semicolon
447.4102 	DATA 	Keypress: j
447.7017 	DATA 	Trial 98 - Stimuli img/target_9.png
449.5704 	DATA 	Keypress: space
450.6668 	DATA 	Keypress: semicolon
451.0580 	DATA 	Keypress: space
452.9870 	DATA 	Keypress: semicolon
453.4581 	DATA 	Keypress: space
454.5151 	DATA 	Keypress: space
454.5459 	DATA 	Keypress: semicolon
454.7824 	DATA 	Trial 99 - Stimuli img/target_11.png
457.5548 	DATA 	Keypress: j
457.5782 	DATA 	Keypress: l
457.8497 	DATA 	Trial 100 - Stimuli img/target_8.png
459.2908 	DATA 	Keypress: l
459.4997 	DATA 	Keypress: space
