graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
lattice,687,v,img/target_5.png,1,1,0.05000000074505806,1.0,1113.0936279296875,['v'],0.6139678955078125,a,686.0
lattice,688,b,img/target_6.png,1,0,0.05000000074505806,1.0,1113.793701171875,['b'],0.7618308067321777,a,687.0
lattice,689,r,img/target_4.png,1,9,0.05000000074505806,1.0,1114.6436767578125,['r'],0.8239591121673584,a,688.0
lattice,690,u,img/target_7.png,1,8,0.05000000074505806,0.0,1115.561279296875,['u'],1.5302698612213135,a,689.0
lattice,691,e,img/target_3.png,1,7,0.05000000074505806,0.0,1117.161376953125,['e'],2.761949062347412,a,690.0
lattice,692,u,img/target_7.png,1,8,0.05000000074505806,1.0,1119.9947509765625,['u'],0.5606911182403564,a,691.0
lattice,693,e,img/target_3.png,1,7,0.05000000074505806,1.0,1120.645751953125,['e'],0.7496058940887451,a,692.0
lattice,694,u,img/target_7.png,1,8,0.05000000074505806,1.0,1121.494384765625,['u'],0.6927909851074219,a,693.0
lattice,695,r,img/target_4.png,1,9,0.05000000074505806,1.0,1122.2786865234375,['r'],0.8045289516448975,a,694.0
lattice,696,e,img/target_3.png,1,7,0.05000000074505806,1.0,1123.1778564453125,['e'],0.8419139385223389,a,695.0
lattice,697,p,img/target_10.png,1,6,0.05000000074505806,1.0,1124.1116943359375,['p'],0.932297945022583,a,696.0
lattice,698,w,img/target_2.png,1,4,0.05000000074505806,1.0,1125.144775390625,['w'],0.8584651947021484,a,697.0
lattice,699,i,img/target_8.png,1,5,0.05000000074505806,0.0,1126.0947265625,['i'],1.285426139831543,a,698.0
lattice,700,e,img/target_3.png,1,7,0.05000000074505806,1.0,1127.4617919921875,['e'],1.4372739791870117,a,699.0
lattice,701,u,img/target_7.png,1,8,0.05000000074505806,1.0,1128.9957275390625,['u'],0.6239619255065918,a,700.0
lattice,702,e,img/target_3.png,1,7,0.05000000074505806,1.0,1129.712646484375,['e'],0.835054874420166,a,701.0
lattice,703,u,img/target_7.png,1,8,0.05000000074505806,1.0,1130.645263671875,['u'],1.2068729400634766,a,702.0
lattice,704,r,img/target_4.png,1,9,0.05000000074505806,1.0,1131.9461669921875,['r'],0.7695939540863037,a,703.0
lattice,705,v,img/target_5.png,1,1,0.05000000074505806,0.0,1132.8123779296875,['v'],1.1664409637451172,a,704.0
lattice,706,o,img/target_9.png,1,3,0.05000000074505806,1.0,1134.0640869140625,['o'],0.8198111057281494,a,705.0
lattice,707,w,img/target_2.png,1,4,0.05000000074505806,1.0,1134.9805908203125,['w'],0.6623070240020752,a,706.0
lattice,708,p,img/target_10.png,1,6,0.05000000074505806,1.0,1135.7327880859375,['p'],0.6860899925231934,a,707.0
lattice,709,u,img/target_7.png,1,8,0.05000000074505806,1.0,1136.5142822265625,['u'],0.6736950874328613,a,708.0
lattice,710,e,img/target_3.png,1,7,0.05000000074505806,1.0,1137.28173828125,['e'],0.8330841064453125,a,709.0
lattice,711,p,img/target_10.png,1,6,0.05000000074505806,1.0,1138.21337890625,['p'],0.9012651443481445,a,710.0
lattice,712,i,img/target_8.png,1,5,0.05000000074505806,0.0,1139.2142333984375,['i'],1.2284021377563477,a,711.0
lattice,713,p,img/target_10.png,1,6,0.05000000074505806,1.0,1140.5135498046875,['p'],0.7931139469146729,a,712.0
lattice,714,e,img/target_3.png,1,7,0.05000000074505806,1.0,1141.3961181640625,['e'],0.7434787750244141,a,713.0
lattice,715,r,img/target_4.png,1,9,0.05000000074505806,1.0,1142.230224609375,['r'],0.8773610591888428,a,714.0
lattice,716,v,img/target_5.png,1,1,0.05000000074505806,1.0,1143.197265625,['v'],1.4052889347076416,a,715.0
lattice,717,r,img/target_4.png,1,9,0.05000000074505806,1.0,1144.6973876953125,['r'],0.6503241062164307,a,716.0
lattice,718,e,img/target_3.png,1,7,0.05000000074505806,1.0,1145.4476318359375,['e'],0.8276660442352295,a,717.0
lattice,719,r,img/target_4.png,1,9,0.05000000074505806,1.0,1146.364501953125,['r'],0.7339470386505127,a,718.0
lattice,720,u,img/target_7.png,1,8,0.05000000074505806,1.0,1147.19775390625,['u'],0.6846752166748047,a,719.0
lattice,721,p,img/target_10.png,1,6,0.05000000074505806,1.0,1147.980224609375,['p'],1.0703959465026855,a,720.0
lattice,722,e,img/target_3.png,1,7,0.05000000074505806,1.0,1149.14794921875,['e'],0.7903718948364258,a,721.0
lattice,723,r,img/target_4.png,1,9,0.05000000074505806,1.0,1150.03125,['r'],0.8031260967254639,a,722.0
lattice,724,v,img/target_5.png,1,1,0.05000000074505806,1.0,1150.930908203125,['v'],0.9994239807128906,a,723.0
lattice,725,q,img/target_1.png,1,2,0.05000000074505806,1.0,1152.0316162109375,['q'],0.6907689571380615,a,724.0
lattice,726,w,img/target_2.png,1,4,0.05000000074505806,1.0,1152.814208984375,['w'],0.8125379085540771,a,725.0
lattice,727,i,img/target_8.png,1,5,0.05000000074505806,1.0,1153.71484375,['i'],0.8318150043487549,a,726.0
lattice,728,p,img/target_10.png,1,6,0.05000000074505806,1.0,1154.6500244140625,['p'],0.6885921955108643,a,727.0
lattice,729,w,img/target_2.png,1,4,0.05000000074505806,1.0,1155.4344482421875,['w'],1.1676499843597412,a,728.0
lattice,730,o,img/target_9.png,1,3,0.05000000074505806,1.0,1156.6978759765625,['o'],0.9922950267791748,a,729.0
lattice,731,i,img/target_8.png,1,5,0.05000000074505806,1.0,1157.7822265625,['i'],1.5172221660614014,a,730.0
lattice,732,e,img/target_3.png,1,7,0.05000000074505806,1.0,1159.39794921875,['e'],0.8363759517669678,a,731.0
lattice,733,u,img/target_7.png,1,8,0.05000000074505806,1.0,1160.332275390625,['u'],0.7658109664916992,a,732.0
lattice,734,r,img/target_4.png,1,9,0.05000000074505806,1.0,1161.19921875,['r'],0.826815128326416,a,733.0
lattice,735,v,img/target_5.png,1,1,0.05000000074505806,1.0,1162.1158447265625,['v'],1.343338966369629,a,734.0
lattice,736,r,img/target_4.png,1,9,0.05000000074505806,1.0,1163.549072265625,['r'],0.6846299171447754,a,735.0
lattice,737,b,img/target_6.png,1,0,0.05000000074505806,1.0,1164.3316650390625,['b'],1.214914083480835,a,736.0
