sess,graph,trialNum,resp,path,pID,walk,ISI_raw,correct_raw,onset_raw,resp_raw,rt_raw,typing_raw,order
2,modular,989,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,990,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,991,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,992,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,993,r,img/target_4.png,60,7,,,,'--',,'--',
2,modular,994,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,995,o,img/target_9.png,60,6,,,,'--',,'--',
2,modular,996,p,img/target_10.png,60,8,,,,'--',,'--',
2,modular,997,e,img/target_3.png,60,9,,,,'--',,'--',
2,modular,998,u,img/target_7.png,60,0,,,,'--',,'--',
2,modular,999,v,img/target_5.png,60,2,,,,'--',,'--',
2,modular,1000,q,img/target_1.png,60,4,,,,'--',,'--',

extraInfo
START,1.4066696167e-05
